County,Population
Adams,497673
Alamosa,16131
Arapahoe,637254
Archuleta,12907
Baca,3557
Bent,5626
Boulder,321989
Broomfield,66252
Chaffee,19097
Cheyenne,1853
Clear Creek,9443
Conejos,8039
Costilla,3707
Crowley,5214
Custer,4617
Delta,30471
Denver,693292
Dolores,2035
Douglas,328330
Eagle,53928
Elbert,25169
El Paso,690207
Fremont,47487
Garfield,58984
Gilpin,5926
Grand,15039
Gunnison,16394
Hinsdale,775
Huerfano,6642
Jackson,1351
Jefferson,571711
Kiowa,1347
Kit Carson,7639
Lake,7595
La Plata,55697
Larimer,338663
Las Animas,14082
Lincoln,5554
Logan,22047
Mesa,150731
Mineral,737
Moffat,13088
Montezuma,26906
Montrose,41421
Morgan,28148
Otero,18290
Ouray,4844
Park,17285
Phillips,4285
Pitkin,17773
Prowers,11841
Pueblo,165109
Rio Blanco,6497
Rio Grande,11424
Routt,24679
Saguache,6404
San Juan,698
San Miguel,8000
Sedgwick,2421
Summit,30367
Teller,24154
Washington,4875
Weld,294397
Yuma,10082
